query,positive,negative
tiny-imagenet-200/val/n02124075/images/val_5301.JPEG,tiny-imagenet-200/val/n02124075/images/val_108.JPEG,tiny-imagenet-200/val/n01983481/images/val_7047.JPEG
tiny-imagenet-200/val/n02124075/images/val_9573.JPEG,tiny-imagenet-200/val/n02124075/images/val_9223.JPEG,tiny-imagenet-200/val/n01770393/images/val_8479.JPEG
tiny-imagenet-200/val/n02124075/images/val_9174.JPEG,tiny-imagenet-200/val/n02124075/images/val_7866.JPEG,tiny-imagenet-200/val/n04487081/images/val_2517.JPEG
tiny-imagenet-200/val/n02124075/images/val_7263.JPEG,tiny-imagenet-200/val/n02124075/images/val_4659.JPEG,tiny-imagenet-200/val/n02395406/images/val_2407.JPEG
tiny-imagenet-200/val/n02124075/images/val_6223.JPEG,tiny-imagenet-200/val/n02124075/images/val_826.JPEG,tiny-imagenet-200/val/n09256479/images/val_870.JPEG
tiny-imagenet-200/val/n02124075/images/val_8682.JPEG,tiny-imagenet-200/val/n02124075/images/val_1338.JPEG,tiny-imagenet-200/val/n02403003/images/val_4181.JPEG
tiny-imagenet-200/val/n02124075/images/val_8154.JPEG,tiny-imagenet-200/val/n02124075/images/val_1355.JPEG,tiny-imagenet-200/val/n04366367/images/val_7630.JPEG
tiny-imagenet-200/val/n02124075/images/val_4659.JPEG,tiny-imagenet-200/val/n02124075/images/val_7187.JPEG,tiny-imagenet-200/val/n01944390/images/val_3997.JPEG
tiny-imagenet-200/val/n02124075/images/val_4823.JPEG,tiny-imagenet-200/val/n02124075/images/val_5801.JPEG,tiny-imagenet-200/val/n02268443/images/val_3448.JPEG
tiny-imagenet-200/val/n02124075/images/val_1338.JPEG,tiny-imagenet-200/val/n02124075/images/val_4659.JPEG,tiny-imagenet-200/val/n03977966/images/val_8217.JPEG
tiny-imagenet-200/val/n04067472/images/val_414.JPEG,tiny-imagenet-200/val/n04067472/images/val_7909.JPEG,tiny-imagenet-200/val/n02410509/images/val_8368.JPEG
tiny-imagenet-200/val/n04067472/images/val_2446.JPEG,tiny-imagenet-200/val/n04067472/images/val_3856.JPEG,tiny-imagenet-200/val/n02509815/images/val_4430.JPEG
tiny-imagenet-200/val/n04067472/images/val_6018.JPEG,tiny-imagenet-200/val/n04067472/images/val_128.JPEG,tiny-imagenet-200/val/n03014705/images/val_6310.JPEG
tiny-imagenet-200/val/n04067472/images/val_2627.JPEG,tiny-imagenet-200/val/n04067472/images/val_2972.JPEG,tiny-imagenet-200/val/n02906734/images/val_5476.JPEG
tiny-imagenet-200/val/n04067472/images/val_136.JPEG,tiny-imagenet-200/val/n04067472/images/val_3856.JPEG,tiny-imagenet-200/val/n07579787/images/val_9595.JPEG
tiny-imagenet-200/val/n04067472/images/val_5571.JPEG,tiny-imagenet-200/val/n04067472/images/val_128.JPEG,tiny-imagenet-200/val/n02814860/images/val_8878.JPEG
tiny-imagenet-200/val/n04067472/images/val_2778.JPEG,tiny-imagenet-200/val/n04067472/images/val_6354.JPEG,tiny-imagenet-200/val/n07875152/images/val_1653.JPEG
tiny-imagenet-200/val/n04067472/images/val_1379.JPEG,tiny-imagenet-200/val/n04067472/images/val_8027.JPEG,tiny-imagenet-200/val/n02837789/images/val_9571.JPEG
tiny-imagenet-200/val/n04067472/images/val_6243.JPEG,tiny-imagenet-200/val/n04067472/images/val_1669.JPEG,tiny-imagenet-200/val/n03980874/images/val_5840.JPEG
tiny-imagenet-200/val/n04067472/images/val_8027.JPEG,tiny-imagenet-200/val/n04067472/images/val_6018.JPEG,tiny-imagenet-200/val/n01910747/images/val_2607.JPEG
tiny-imagenet-200/val/n04540053/images/val_8067.JPEG,tiny-imagenet-200/val/n04540053/images/val_3115.JPEG,tiny-imagenet-200/val/n04070727/images/val_6884.JPEG
tiny-imagenet-200/val/n04540053/images/val_9070.JPEG,tiny-imagenet-200/val/n04540053/images/val_2466.JPEG,tiny-imagenet-200/val/n02730930/images/val_436.JPEG
tiny-imagenet-200/val/n04540053/images/val_1821.JPEG,tiny-imagenet-200/val/n04540053/images/val_9884.JPEG,tiny-imagenet-200/val/n02892201/images/val_8759.JPEG
tiny-imagenet-200/val/n04540053/images/val_2466.JPEG,tiny-imagenet-200/val/n04540053/images/val_8119.JPEG,tiny-imagenet-200/val/n01644900/images/val_9426.JPEG
tiny-imagenet-200/val/n04540053/images/val_6326.JPEG,tiny-imagenet-200/val/n04540053/images/val_3334.JPEG,tiny-imagenet-200/val/n02788148/images/val_5896.JPEG
tiny-imagenet-200/val/n04540053/images/val_3827.JPEG,tiny-imagenet-200/val/n04540053/images/val_8306.JPEG,tiny-imagenet-200/val/n03930313/images/val_1179.JPEG
tiny-imagenet-200/val/n04540053/images/val_7425.JPEG,tiny-imagenet-200/val/n04540053/images/val_9884.JPEG,tiny-imagenet-200/val/n03447447/images/val_7054.JPEG
tiny-imagenet-200/val/n04540053/images/val_8119.JPEG,tiny-imagenet-200/val/n04540053/images/val_7425.JPEG,tiny-imagenet-200/val/n04118538/images/val_7810.JPEG
tiny-imagenet-200/val/n04540053/images/val_4481.JPEG,tiny-imagenet-200/val/n04540053/images/val_9427.JPEG,tiny-imagenet-200/val/n04179913/images/val_9699.JPEG
tiny-imagenet-200/val/n04540053/images/val_26.JPEG,tiny-imagenet-200/val/n04540053/images/val_1990.JPEG,tiny-imagenet-200/val/n03026506/images/val_5018.JPEG
tiny-imagenet-200/val/n04099969/images/val_7812.JPEG,tiny-imagenet-200/val/n04099969/images/val_8879.JPEG,tiny-imagenet-200/val/n02666196/images/val_2127.JPEG
tiny-imagenet-200/val/n04099969/images/val_6995.JPEG,tiny-imagenet-200/val/n04099969/images/val_2059.JPEG,tiny-imagenet-200/val/n07720875/images/val_47.JPEG
tiny-imagenet-200/val/n04099969/images/val_6307.JPEG,tiny-imagenet-200/val/n04099969/images/val_2366.JPEG,tiny-imagenet-200/val/n02963159/images/val_4755.JPEG
tiny-imagenet-200/val/n04099969/images/val_2651.JPEG,tiny-imagenet-200/val/n04099969/images/val_9865.JPEG,tiny-imagenet-200/val/n02977058/images/val_2815.JPEG
tiny-imagenet-200/val/n04099969/images/val_2082.JPEG,tiny-imagenet-200/val/n04099969/images/val_7812.JPEG,tiny-imagenet-200/val/n03733131/images/val_8574.JPEG
tiny-imagenet-200/val/n04099969/images/val_8483.JPEG,tiny-imagenet-200/val/n04099969/images/val_3382.JPEG,tiny-imagenet-200/val/n03970156/images/val_119.JPEG
tiny-imagenet-200/val/n04099969/images/val_2172.JPEG,tiny-imagenet-200/val/n04099969/images/val_2440.JPEG,tiny-imagenet-200/val/n02321529/images/val_2725.JPEG
tiny-imagenet-200/val/n04099969/images/val_2888.JPEG,tiny-imagenet-200/val/n04099969/images/val_1625.JPEG,tiny-imagenet-200/val/n04133789/images/val_8231.JPEG
tiny-imagenet-200/val/n04099969/images/val_9397.JPEG,tiny-imagenet-200/val/n04099969/images/val_8879.JPEG,tiny-imagenet-200/val/n02699494/images/val_9999.JPEG
tiny-imagenet-200/val/n04099969/images/val_747.JPEG,tiny-imagenet-200/val/n04099969/images/val_6450.JPEG,tiny-imagenet-200/val/n02233338/images/val_8130.JPEG
tiny-imagenet-200/val/n07749582/images/val_1745.JPEG,tiny-imagenet-200/val/n07749582/images/val_4225.JPEG,tiny-imagenet-200/val/n07720875/images/val_4718.JPEG
tiny-imagenet-200/val/n07749582/images/val_7845.JPEG,tiny-imagenet-200/val/n07749582/images/val_526.JPEG,tiny-imagenet-200/val/n04597913/images/val_1040.JPEG
tiny-imagenet-200/val/n07749582/images/val_7582.JPEG,tiny-imagenet-200/val/n07749582/images/val_4819.JPEG,tiny-imagenet-200/val/n04254777/images/val_9255.JPEG
tiny-imagenet-200/val/n07749582/images/val_5268.JPEG,tiny-imagenet-200/val/n07749582/images/val_9156.JPEG,tiny-imagenet-200/val/n02113799/images/val_6050.JPEG
tiny-imagenet-200/val/n07749582/images/val_6167.JPEG,tiny-imagenet-200/val/n07749582/images/val_8918.JPEG,tiny-imagenet-200/val/n03584254/images/val_4895.JPEG
tiny-imagenet-200/val/n07749582/images/val_588.JPEG,tiny-imagenet-200/val/n07749582/images/val_4819.JPEG,tiny-imagenet-200/val/n07614500/images/val_7650.JPEG
tiny-imagenet-200/val/n07749582/images/val_526.JPEG,tiny-imagenet-200/val/n07749582/images/val_4717.JPEG,tiny-imagenet-200/val/n02699494/images/val_252.JPEG
tiny-imagenet-200/val/n07749582/images/val_6849.JPEG,tiny-imagenet-200/val/n07749582/images/val_4384.JPEG,tiny-imagenet-200/val/n04398044/images/val_1680.JPEG
tiny-imagenet-200/val/n07749582/images/val_1420.JPEG,tiny-imagenet-200/val/n07749582/images/val_8283.JPEG,tiny-imagenet-200/val/n03584254/images/val_6121.JPEG
tiny-imagenet-200/val/n07749582/images/val_4225.JPEG,tiny-imagenet-200/val/n07749582/images/val_575.JPEG,tiny-imagenet-200/val/n04179913/images/val_5319.JPEG
tiny-imagenet-200/val/n01641577/images/val_8899.JPEG,tiny-imagenet-200/val/n01641577/images/val_6476.JPEG,tiny-imagenet-200/val/n09332890/images/val_2710.JPEG
